index,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
11,0.5331526,0.330068,0.54776967,0.3398218,0.5834192,0.32453766,0.6326208,0.32553828,0.5985838,0.35020104,0.60256153,0.3510881,0.65970916,0.2908612,0.66627043,0.30567193,0.7262058,0.31548798,0.74615395,0.3603834,0.8102935,0.2756505,0.8637494,0.33661437
12,0.4969419,0.29340735,0.54943377,0.34344625,0.5532931,0.26005033,0.6167431,0.35869938,0.5450641,0.26452628,0.61471254,0.3994497,0.6524929,0.2787647,0.65899605,0.31014547,0.71641743,0.30157962,0.7547114,0.3501961,0.8120758,0.26897827,0.8633111,0.33818603
13,0.49177206,0.2817802,0.5024416,0.33171424,0.54929274,0.26252815,0.5144828,0.35469362,0.5495725,0.26128423,0.45592082,0.336642,0.6431696,0.28577012,0.6432587,0.3136308,0.7175417,0.2866907,0.7477482,0.3339791,0.8058541,0.27011013,0.84649104,0.33870256
14,0.4722244,0.28254795,0.47133386,0.3321799,0.55662054,0.26578158,0.51337737,0.3140139,0.52730376,0.27095038,0.5056766,0.2901804,0.62589705,0.28928238,0.62494576,0.3222424,0.7174619,0.280911,0.73630244,0.3318433,0.8091878,0.2710224,0.8300739,0.3433773
15,0.46535042,0.29473376,0.45217997,0.32647598,0.5573517,0.28523347,0.50148124,0.3003002,0.51879674,0.26104066,0.48350325,0.27457505,0.6046414,0.29795054,0.6032572,0.32842532,0.70713663,0.28214592,0.7189562,0.3420608,0.8057138,0.27152416,0.8173562,0.35355085
16,0.4543639,0.33472553,0.47423264,0.2880004,0.5084437,0.31935737,0.553422,0.2918099,0.47233984,0.28780496,0.5389219,0.26547006,0.60246885,0.33211604,0.60204685,0.2999832,0.7099064,0.34598044,0.7006628,0.28530332,0.80994385,0.367626,0.80074996,0.2731752
17,0.47078586,0.29793063,0.45987436,0.33345065,0.55432326,0.29859555,0.5151741,0.31868976,0.54356164,0.2695339,0.49116617,0.29028028,0.60160536,0.30652606,0.6012898,0.33700892,0.70687836,0.28742602,0.7149496,0.35146835,0.79981357,0.27213597,0.8080853,0.37306553
18,0.45758632,0.3026325,0.45042476,0.34963608,0.5356828,0.29819712,0.52332985,0.3476138,0.50233084,0.28444752,0.5111592,0.3283783,0.5941733,0.31821874,0.59314245,0.352513,0.70809656,0.2947405,0.7114535,0.3661303,0.80838275,0.28247505,0.8175328,0.38138452
19,0.4598633,0.3046371,0.45529795,0.36004707,0.54319334,0.29372272,0.52974665,0.38016853,0.501672,0.29272744,0.52147275,0.35422018,0.59245294,0.33622545,0.5909415,0.34870017,0.70004123,0.37729913,0.6998995,0.30994704,0.80534863,0.38739833,0.80215466,0.3023411
20,0.47991,0.31214598,0.47728252,0.37092057,0.55062854,0.29719603,0.55109495,0.39572623,0.5527491,0.30066872,0.56230134,0.37534523,0.60826933,0.32914656,0.6024332,0.3645463,0.7120164,0.31986892,0.70565975,0.39247218,0.811996,0.30628097,0.8146916,0.40986437
